,source,page number,segment number,description,proposed_name,proposed_target,smiles,inchi,inchikey,validation
0,DH-MOTM-Poster-Feb2023.pdf,0,0,"PF-07258669
MCR4
oral melanocortin-4 receptor antagonist
Ph. I candidate
focused screen of 28K library for MC4R activity
J. Med. Chem., February 19, 2023
PFIZER INC., GROTON, CT",PF-07258669,MCR4,COc1cc([C@@H](C)C(=O)N2CC[C@@]3(CCc4cc(-c5ncccn5)c(C)nc4N3)C2)c(F)cn1,"InChI=1S/C25H27FN6O2/c1-15(18-12-21(34-3)29-13-20(18)26)24(33)32-10-7-25(14-32)6-5-17-11-19(16(2)30-22(17)31-25)23-27-8-4-9-28-23/h4,8-9,11-13,15H,5-7,10,14H2,1-3H3,(H,30,31)/t15-,25+/m1/s1",PARGFYLSRQUWHR-BZQUYTCOSA-N,False
1,DH-MOTM-Poster-Feb2023.pdf,0,1,"bifunctional, Gag-Pol allosteric glue
NNRTI + potent ex vivo HIV-1 TACK activity
HTS of >6K NNRTIs for TACK activity
Sci. Transl. Med., February 22, 2023
MERCK & CO. INC., RAHWAY, NJ
PYR01
HIV Gag-Pol","bifunctional, Gag-Pol allosteric glue",NNRTI + potent ex vivo HIV-1 TACK activity,Cc1c(C#N)cc(C(F)F)cc1Oc1c(C(F)(F)C(F)F)ncn(Cc2cc(F)c[nH]c2=O)c1=O,"InChI=1S/C21H13F7N4O3/c1-9-11(5-29)2-10(17(23)24)4-14(9)35-15-16(21(27,28)20(25)26)31-8-32(19(15)34)7-12-3-13(22)6-30-18(12)33/h2-4,6,8,17,20H,7H2,1H3,(H,30,33)",VZPBEVWOYXRBLB-UHFFFAOYSA-N,True
2,DH-MOTM-Poster-Feb2023.pdf,0,2,"GLPG2534
IRAK4
oral IRAK4 inhibitor
promising activity in mouse model 
for atopic dermatitis
HTS of kinase-focused 25K cmpd library 
vs. IRAK4 catalytic domain
Sci. Trans. Med.,  February 15, 2023",GLPG2534,IRAK4,N#Cc1ccc(-n2cnc3cc(OCCOCCO)c(NC4CCOCC4)nc32)nc1,"InChI=1S/C21H24N6O4/c22-12-15-1-2-19(23-13-15)27-14-24-17-11-18(31-10-9-30-8-5-28)20(26-21(17)27)25-16-3-6-29-7-4-16/h1-2,11,13-14,16,28H,3-10H2,(H,25,26)",VNAPWQDUDZCVCA-UHFFFAOYSA-N,True
3,DH-MOTM-Poster-Feb2023.pdf,0,3,"TP0473292
mGluR2/3
mGluR2/3 antagonist prodrug
Ph. II for depression
prodrug of TP0178894 
(hydrophilic glutamate analog)
Drug Metab. Dispos., February 8, 2023
TAISHO PHARMACEUTICAL CO., TOKYO, JP",TP0473292,mGluR2/3,[H][C@@]12C[C@@H](OCc3ccc(F)cc3)[C@@](N)(C(=O)O[C@@H](C)OC(=O)C34CC5CC(CC(C5)C3)C4)[C@]1([H])[C@@]2(F)C(=O)O,"InChI=1S/C28H33F2NO7/c1-14(37-24(34)26-10-16-6-17(11-26)8-18(7-16)12-26)38-25(35)28(31)21(9-20-22(28)27(20,30)23(32)33)36-13-15-2-4-19(29)5-3-15/h2-5,14,16-18,20-22H,6-13,31H2,1H3,(H,32,33)/t14-,16?,17?,18?,20+,21+,22-,26?,27+,28-/m0/s1",OCKJWSRXCCMMEI-AHGQKZNCSA-N,True
4,DH-MOTM-Poster-Feb2023.pdf,0,4,"M4205
KIT
selective KIT inhibitor
Ph I. for advanced GIST
HTS of ELF library (~450K cmpds) for 
sel. KITV654A inhibition
J. Med. Chem., February 2, 2023
MERCK HEALTHCARE KGAA, DARMSTADT, DE",M4205,KIT,Cn1cc(-c2ccc(CNc3cc(-c4cnc5cc(OCCCN6CCCC6)ccn45)ncn3)cc2)cn1,"InChI=1S/C29H32N8O/c1-35-20-24(18-34-35)23-7-5-22(6-8-23)17-30-28-16-26(32-21-33-28)27-19-31-29-15-25(9-13-37(27)29)38-14-4-12-36-10-2-3-11-36/h5-9,13,15-16,18-21H,2-4,10-12,14,17H2,1H3,(H,30,32,33)",LVMAULGVWBINFP-UHFFFAOYSA-N,True
5,DH-MOTM-Poster-Feb2023.pdf,0,5,"SEQ-9
Mtb 23S ribosome
oral Mtb 23S bacterial ribosome inhibitor
potent in vitro + in vivo activity against 
Mycobacterium tuberculosis
opt. of sequanamycin macrolides
Cell, February 23, 2023
SANOFI, FR + CH",SEQ-9,Mtb 23S ribosome,[H]C(C)CC(=NO)C(O)C([H])OC1[CH]CC(C)(OC(=O)NC(C)(C)CNS(=O)(=O)C2=CC=CC=C2)C(=O)C(C)C2OC3(=O)C(C(=O)OC2C([H])(C(C)OC2([H])OC([H])(C)C(O)C(OC)C2OC)OC(=O)C(C)C(OC2([H])CC(C)N(C)CC(C)O2)C1C)C1(C)(C)CC(C)C31,,,False
6,DH-MOTM-Poster-Feb2023.pdf,0,6,"sparsentan
ET/ATR
FIC oral, once-daily, dual ETA/AT1 antagonist
FDA-approved for proteinuria reduction 
in primary IgAN
opt. of known ETA/AT1 antagonist
FDA accelerated approval, February 17, 2023
TRAVERE THERAPEUTICS, SAN DIEGO, CA",sparsentan,ET/ATR,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC(=C(C=C3)C4=CC=CC=C4S(=O)(=O)NC5=NOC(=C5C)C)COCC,"InChI=1S/C32H40N4O5S/c1-5-7-14-29-33-32(17-10-11-18-32)31(37)36(29)20-24-15-16-26(25(19-24)21-40-6-2)27-12-8-9-13-28(27)42(38,39)35-30-22(3)23(4)41-34-30/h8-9,12-13,15-16,19H,5-7,10-11,14,17-18,20-21H2,1-4H3,(H,34,35)",WRFHGDPIDHPWIQ-UHFFFAOYSA-N,True
7,DH-MOTM-Poster-Feb2023.pdf,0,7,"daprodustat
HIF-PHD
oral, once-daily, pan-PHD inhibitor
FDA-approved for anemia in CKD patients
designed PHD cofactor mimetic
FDA approval, February 1, 2023
GSK, PLC, LONDON, UK",daprodustat,HIF-PHD,O=C(O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O,"InChI=1S/C19H27N3O6/c23-14(24)11-20-16(25)15-17(26)21(12-7-3-1-4-8-12)19(28)22(18(15)27)13-9-5-2-6-10-13/h12-13,26H,1-11H2,(H,20,25)(H,23,24)",NVTKJBXOBFRPLQ-UHFFFAOYSA-N,True
8,DH-MOTM-Poster-Feb2023.pdf,0,8,"pociredir
EED (PRC2)
oral, allosteric PRC2 inhibitor (EED)
Ph. Ib for sickle cell disease (on hold)
VLS, FBLD, de novo design + opt.
Press release, February 24, 2023
FULCRUM THERAPEUTICS, CAMBRIDGE, MA",pociredir,EED (PRC2),Cc1ncccc1-c1cc2c(n3cnnc13)NCc1c(F)ccc3c1[C@H](CO3)CO2,"InChI=1S/C22H18FN5O2/c1-12-14(3-2-6-24-12)15-7-19-22(28-11-26-27-21(15)28)25-8-16-17(23)4-5-18-20(16)13(9-29-18)10-30-19/h2-7,11,13,25H,8-10H2,1H3/t13-/m1/s1",JQBUTSBIFNKJMW-CYBMUJFWSA-N,True
9,DH-MOTM-Poster-Feb2023.pdf,0,9,"QR-6401
CDK2
oral, macrocyclic CDK2 inhibitor
robust activity in ovarian cancer xenograft models
AI generative modeling + opt.
ACS. Med. Chem. Lett., February 8, 2023
REGOR THERAPEUTICS GROUP, SHANGHAI, CN",QR-6401,CDK2,[H][C@]12CC[C@H](C1)OC(=O)N[C@@H]1C[C@H](C1)OCc1cccc(n1)Nc1cc2[nH]n1,"InChI=1S/C19H23N5O3/c25-19-21-13-7-15(8-13)26-10-12-2-1-3-17(20-12)22-18-9-16(23-24-18)11-4-5-14(6-11)27-19/h1-3,9,11,13-15H,4-8,10H2,(H,21,25)(H2,20,22,23,24)/t11-,13-,14+,15-/m0/s1",LAQCQSKKZIRXFW-MHEUCROKSA-N,False
